row_id,date,store,product,num_sold,latitude,longitude,zone,official_franchisee,review,area,rent,Working_hrs,Online_availability,Phone-no
1,1/1/2015,CMart,2,520,73.8446,18.53144439,north,Yes,worst shop,2990,33227,7.5,Y,7720199932.0
2,1/1/2015,CMart,1,146,73.8652,18.45312458,south,No,"['Worst service', 'Not at all customer friendly. Behavior of owner as well staff is quite rude.', 'No proper arrangement of items. No proper service from store people.', ' no replacement of some products and also if you ask them to open a product, they deny', 'The staff is not at all valuing customers.', 'Very poor service and delivery.', 'I will definitely not be ordering again.', 'I didn’t like the material', 'I am extremely dissatisfied']",2696,23363,9.0,Y,7928619931.0
3,1/1/2015,Petals,0,572,73.904,18.54593972,east,No,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,958,54788,7.5,Y,9075213333.0
4,1/1/2015,Petals,2,911,73.8031,18.55996381,north,No,:),1705,45536,7.5,N,9075212333.0
5,1/1/2015,Petals,1,283,73.8652,18.45250932,south,Yes,worst shop,2805,26866,9.5,Y,9075213344.0
6,1/1/2015,CMart,0,526,73.8446,,north,Yes,,1599,29935,9.0,Y,7928619932.0
8,1/1/2015,CMart,1,250,73.8652,18.45302357,south,No,worst shop,1843,24679,8.0,N,9271199931.0
9,1/1/2015,Petals,0,1005,73.8652,18.45299244,south,Yes,,1583,19255,10.5,N,9075813344.0
10,1/1/2015,Petals,2,1461,73.894,18.53656617,east,No,:),2663,40723,5.0,Y,9075212233.0
11,1/1/2015,Petals,1,395,73.8217,18.49190117,south,Yes,,719,40469,9.0,N,9075212223.0
12,1/1/2015,CMart,0,440,73.8446,18.53186035,north,No,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,2439,34112,8.0,,9271199932.0
13,1/1/2015,CMart,2,624,73.9272,18.51626647,east,Yes,worst shop,2498,40625,5.5,Y,7720199938.0
15,1/1/2015,Petals,0,706,73.9143,18.56785555,east,No,"nyc shop, qt mugs",954,32726,5.5,Y,9075202222.0
16,1/1/2015,Petals,2,1195,73.7925,18.54198197,,Yes,:),1699,25094,5.5,Y,9075201222.0
17,1/1/2015,Petals,1,324,73.8652,18.45266381,south,Yes,,2374,20941,10.0,N,9075913344.0
18,1/2/2015,CMart,0,318,73.8652,18.45289511,south,Yes,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,2785,29827,9.0,Y,7928619931.0
19,1/2/2015,CMart,2,493,73.8446,18.53184722,north,No,worst shop,2050,38526,7.5,Y,7720199932.0
20,1/2/2015,CMart,1,127,73.7699,18.51347448,west,Yes,"['Worst service', 'Not at all customer friendly. Behavior of owner as well staff is quite rude.', 'No proper arrangement of items. No proper service from store people.', ' no replacement of some products and also if you ask them to open a product, they deny', 'The staff is not at all valuing customers.', 'Very poor service and delivery.', 'I will definitely not be ordering again.', 'I didn’t like the material', 'I am extremely dissatisfied']",507,48999,5.5,Y,7720199940.0
22,1/2/2015,Petals,2,794,73.8031,18.56057949,north,No,worst shop,2669,52210,8.5,N,9075812333.0
23,1/2/2015,Petals,1,249,73.8652,18.45245495,south,Yes,worst shop,1445,12923,9.0,Y,9075113344.0
24,1/2/2015,CMart,0,538,73.904,,east,Yes,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,1240,52410,7.5,Y,7720199932.0
25,1/2/2015,CMart,2,845,73.8031,18.56028422,north,Yes,worst shop,2608,58177,9.0,N,7928619933.0
26,1/2/2015,CMart,1,237,73.8652,,,Yes,worst shop,597,12278,8.0,N,9271199931.0
27,1/2/2015,Petals,0,949,73.8652,18.45335392,south,No,,2314,26533,9.5,Y,9075213344.0
29,1/2/2015,Petals,1,415,73.8217,18.49100729,south,Yes,poor,2207,45965,7.0,N,9075812223.0
30,1/2/2015,CMart,0,384,73.8217,18.49130588,south,No,,1181,43935,9.0,N,7720199946.0
31,1/2/2015,CMart,2,572,73.904,,east,Yes,worst shop,2969,57086,9.0,Y,7928619932.0
32,1/2/2015,CMart,1,155,73.8652,18.45265083,south,Yes,,2088,22522,7.5,Y,7720199931.0
33,1/2/2015,Petals,0,653,73.9272,18.51557876,east,No,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,1530,34860,6.5,N,9075212222.0
34,1/2/2015,Petals,2,986,73.8652,18.45291286,south,No,,1336,15621,10.5,N,9075813344.0
36,1/3/2015,CMart,0,360,73.8652,18.45339204,south,Yes,,1158,15947,9.0,Y,7928619931.0
37,1/3/2015,CMart,2,535,73.904,18.54611504,east,Yes,,2770,56269,8.0,N,9271199932.0
38,1/3/2015,CMart,1,141,73.8652,18.4525315,south,Yes,,2125,27987,8.0,N,9271199931.0
39,1/3/2015,Petals,0,579,73.904,18.54662732,east,Yes,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,1784,59762,9.0,N,9075913333.0
40,1/3/2015,Petals,2,843,73.8031,18.55997605,north,Yes,worst shop,1945,54209,10.0,N,9075912333.0
41,1/3/2015,Petals,1,265,73.8652,18.45320713,south,No,worst shop,2823,29257,9.0,Y,9075113344.0
43,1/3/2015,CMart,2,930,73.8031,18.56018824,north,No,:),1607,40528,8.5,N,9271199933.0
44,1/3/2015,CMart,1,254,73.8652,18.45285973,south,No,worst shop,728,13265,7.5,Y,7720199931.0
45,1/3/2015,Petals,0,1029,73.8652,18.45248872,south,Yes,:),2075,23225,9.5,Y,9075213344.0
46,1/3/2015,Petals,2,1631,73.9143,18.56766277,east,No,:),2295,41567,9.5,N,9075802222.0
47,1/3/2015,Petals,1,451,73.8446,18.53103448,north,No,worst shop,1092,24259,8.0,,9075213334.0
48,1/3/2015,CMart,0,420,73.8217,18.49152689,south,No,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,2130,48719,7.0,Y,8928619946.0
50,1/3/2015,CMart,1,173,73.8652,18.45320187,south,No,"['Worst service', 'Not at all customer friendly. Behavior of owner as well staff is quite rude.', 'No proper arrangement of items. No proper service from store people.', ' no replacement of some products and also if you ask them to open a product, they deny', 'The staff is not at all valuing customers.', 'Very poor service and delivery.', 'I will definitely not be ordering again.', 'I didn’t like the material', 'I am extremely dissatisfied']",2982,29571,9.0,Y,7928619931.0
51,1/3/2015,Petals,0,734,73.8031,18.55984124,north,No,"very good shopkeeper, gave free welcome drink",2424,54171,6.5,Y,9075112333.0
52,1/3/2015,Petals,2,1167,73.7925,18.54165712,west,Yes,:),1969,36563,9.5,N,9075801222.0
53,1/3/2015,Petals,1,319,73.8652,18.45323563,south,Yes,average only,2953,21208,10.5,N,9075813344.0
54,1/4/2015,CMart,0,332,73.8652,18.45295011,,No,,1086,16441,8.0,N,9271199931.0
55,1/4/2015,CMart,2,544,73.904,18.54624506,east,Yes,,1287,54723,7.5,Y,7720199932.0
57,1/4/2015,Petals,0,582,73.904,18.54590596,east,Yes,,2647,58046,7.5,Y,9075113333.0
58,1/4/2015,Petals,2,873,73.8031,18.56011193,north,Yes,worst shop,1201,41011,7.5,N,9075212333.0
59,1/4/2015,Petals,1,245,73.8652,18.45333566,south,Yes,,1705,18070,10.0,N,9075913344.0
60,1/4/2015,CMart,0,589,73.9272,,east,Yes,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,1003,30299,5.5,Y,7720199938.0
61,1/4/2015,CMart,2,889,73.8031,18.56025227,north,Yes,"[uncooperative staff, very nice shop, cool products, i love pulzion]",2243,53244,10.5,N,7720199933.0
62,1/4/2015,CMart,1,255,73.8652,18.45275788,south,No,worst shop,2589,25550,7.5,Y,7720199931.0
64,1/4/2015,Petals,2,1540,73.8652,,south,Yes,:),1260,10799,9.5,Y,9075213344.0
65,1/4/2015,Petals,1,455,73.8446,18.5317267,,Yes,worst shop,2825,33759,8.5,N,9075813334.0
66,1/4/2015,CMart,0,406,73.8217,18.49191188,south,Yes,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,844,44676,6.5,Y,9271199946.0
67,1/4/2015,CMart,2,697,73.9143,18.56762862,east,No,worst shop,2885,46289,5.5,Y,7720199939.0
68,1/4/2015,CMart,1,169,73.8652,18.45325763,south,Yes,"['Worst service', 'Not at all customer friendly. Behavior of owner as well staff is quite rude.', 'No proper arrangement of items. No proper service from store people.', ' no replacement of some products and also if you ask them to open a product, they deny', 'The staff is not at all valuing customers.', 'Very poor service and delivery.', 'I will definitely not be ordering again.', 'I didn’t like the material', 'I am extremely dissatisfied']",2137,22741,9.0,Y,7928619931.0
69,1/4/2015,Petals,0,657,73.9272,18.51547191,east,No,this shopkeepr bery rood cannot even exchange fault piece I think he only fault,1491,38220,6.0,N,9075812222.0
71,1/4/2015,Petals,1,300,73.8652,18.4532911,south,No,worst shop,1163,18132,10.0,N,9075913344.0
72,1/5/2015,CMart,0,243,73.8652,18.45246015,south,No,,1560,17314,8.0,N,9271199931.0
73,1/5/2015,CMart,2,378,73.8652,,south,Yes,worst shop,2387,22052,7.5,Y,7720199931.0
74,1/5/2015,CMart,1,102,73.7699,18.51369561,west,No,"['Worst service', 'Not at all customer friendly. Behavior of owner as well staff is quite rude.', 'No proper arrangement of items. No proper service from store people.', ' no replacement of some products and also if you ask them to open a product, they deny', 'The staff is not at all valuing customers.', 'Very poor service and delivery.', 'I will definitely not be ordering again.', 'I didn’t like the material', 'I am extremely dissatisfied']",2656,59428,4.5,Y,9271199940.0
